dc:identifier,dc:modified,ayto:tipoDia,ayto:linea,ayto:servicio,ayto:numViaje,ayto:tipoParada,ayto:idParada,ayto:nombreParada,ayto:idEvento,ayto:descEvento,ayto:hora,uri
24001IFA101031678240,2025-03-01T00:01:49.577Z,24001IFA,1,0103,16,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,78240,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031678240.csv
24001IFA101031675240,2025-03-01T00:01:49.577Z,24001IFA,1,0103,16,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,75240,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031675240.csv
24001IFA101031574340,2025-03-01T00:01:49.577Z,24001IFA,1,0103,15,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,74340,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031574340.csv
24001IFA101031571340,2025-03-01T00:01:49.577Z,24001IFA,1,0103,15,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,71340,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031571340.csv
24001IFA101031471340,2025-03-01T00:01:49.577Z,24001IFA,1,0103,14,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,71340,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031471340.csv
24001IFA101031468340,2025-03-01T00:01:49.577Z,24001IFA,1,0103,14,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,68340,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031468340.csv
24001IFA101031367440,2025-03-01T00:01:49.577Z,24001IFA,1,0103,13,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,67440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031367440.csv
24001IFA101031364440,2025-03-01T00:01:49.577Z,24001IFA,1,0103,13,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,64440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031364440.csv
24001IFA101031264440,2025-03-01T00:01:49.577Z,24001IFA,1,0103,12,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,64440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031264440.csv
24001IFA101031261440,2025-03-01T00:01:49.577Z,24001IFA,1,0103,12,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,61440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031261440.csv
24001IFA101031161440,2025-03-01T00:01:49.577Z,24001IFA,1,0103,11,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,61440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031161440.csv
24001IFA101031158440,2025-03-01T00:01:49.577Z,24001IFA,1,0103,11,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,58440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031158440.csv
24001IFA101031058440,2025-03-01T00:01:49.577Z,24001IFA,1,0103,10,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,58440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031058440.csv
24001IFA101031055440,2025-03-01T00:01:49.577Z,24001IFA,1,0103,10,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,55440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101031055440.csv
24001IFA10102953940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,9,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,53940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102953940.csv
24001IFA10102950940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,9,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,50940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102950940.csv
24001IFA10102850940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,8,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,50940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102850940.csv
24001IFA10102847940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,8,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,47940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102847940.csv
24001IFA10102747940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,7,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,47940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102747940.csv
24001IFA10102744940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,7,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,44940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102744940.csv
24001IFA10102644940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,6,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,44940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102644940.csv
24001IFA10102642120,2025-03-01T00:01:49.577Z,24001IFA,1,0102,6,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,42120,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102642120.csv
24001IFA10102541040,2025-03-01T00:01:49.577Z,24001IFA,1,0102,5,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,41040,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102541040.csv
24001IFA10102538040,2025-03-01T00:01:49.577Z,24001IFA,1,0102,5,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,38040,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102538040.csv
24001IFA10102438040,2025-03-01T00:01:49.577Z,24001IFA,1,0102,4,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,38040,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102438040.csv
24001IFA10102435220,2025-03-01T00:01:49.577Z,24001IFA,1,0102,4,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,35220,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102435220.csv
24001IFA10102334140,2025-03-01T00:01:49.577Z,24001IFA,1,0102,3,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,34140,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102334140.csv
24001IFA10102331140,2025-03-01T00:01:49.577Z,24001IFA,1,0102,3,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,31140,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102331140.csv
24001IFA10102231140,2025-03-01T00:01:49.577Z,24001IFA,1,0102,2,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,31140,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102231140.csv
24001IFA10102228200,2025-03-01T00:01:49.577Z,24001IFA,1,0102,2,1,545,JOSE MARIA GONZALEZ TREVILLA 14,11,ENTRADA EN LINEA,28200,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10102228200.csv
24001IFA101021779740,2025-03-01T00:01:49.577Z,24001IFA,1,0102,17,1,545,JOSE MARIA GONZALEZ TREVILLA 14,12,SALIDA DE LINEA,79740,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021779740.csv
24001IFA101021776740,2025-03-01T00:01:49.577Z,24001IFA,1,0102,17,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,76740,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021776740.csv
24001IFA101021676740,2025-03-01T00:01:49.577Z,24001IFA,1,0102,16,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,76740,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021676740.csv
24001IFA101021673740,2025-03-01T00:01:49.577Z,24001IFA,1,0102,16,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,73740,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021673740.csv
24001IFA101021572840,2025-03-01T00:01:49.577Z,24001IFA,1,0102,15,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,72840,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021572840.csv
24001IFA101021569840,2025-03-01T00:01:49.577Z,24001IFA,1,0102,15,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,69840,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021569840.csv
24001IFA101021469840,2025-03-01T00:01:49.577Z,24001IFA,1,0102,14,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,69840,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021469840.csv
24001IFA101021466960,2025-03-01T00:01:49.577Z,24001IFA,1,0102,14,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,66960,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021466960.csv
24001IFA101021369540,2025-03-01T00:01:49.577Z,24001IFA,1,0102,13,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,69540,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021369540.csv
24001IFA101021362940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,13,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,62940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021362940.csv
24001IFA101021262940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,12,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,62940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021262940.csv
24001IFA101021259940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,12,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,59940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021259940.csv
24001IFA101021159940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,11,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,59940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021159940.csv
24001IFA101021156940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,11,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,56940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021156940.csv
24001IFA101021056940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,10,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,56940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021056940.csv
24001IFA101021053940,2025-03-01T00:01:49.577Z,24001IFA,1,0102,10,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,53940,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101021053940.csv
24001IFA10101952320,2025-03-01T00:01:49.577Z,24001IFA,1,0101,9,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,52320,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101952320.csv
24001IFA10101949380,2025-03-01T00:01:49.577Z,24001IFA,1,0101,9,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,49380,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101949380.csv
24001IFA10101849380,2025-03-01T00:01:49.577Z,24001IFA,1,0101,8,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,49380,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101849380.csv
24001IFA10101846440,2025-03-01T00:01:49.577Z,24001IFA,1,0101,8,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,46440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101846440.csv
24001IFA10101746440,2025-03-01T00:01:49.577Z,24001IFA,1,0101,7,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,46440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101746440.csv
24001IFA10101743440,2025-03-01T00:01:49.577Z,24001IFA,1,0101,7,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,43440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101743440.csv
24001IFA10101643440,2025-03-01T00:01:49.577Z,24001IFA,1,0101,6,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,43440,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101643440.csv
24001IFA10101640620,2025-03-01T00:01:49.577Z,24001IFA,1,0101,6,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,40620,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101640620.csv
24001IFA10101539540,2025-03-01T00:01:49.577Z,24001IFA,1,0101,5,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,39540,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101539540.csv
24001IFA10101536540,2025-03-01T00:01:49.577Z,24001IFA,1,0101,5,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,36540,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101536540.csv
24001IFA10101436540,2025-03-01T00:01:49.577Z,24001IFA,1,0101,4,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,36540,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101436540.csv
24001IFA10101433720,2025-03-01T00:01:49.577Z,24001IFA,1,0101,4,1,545,JOSE MARIA GONZALEZ TREVILLA 14,3,INICIO DE VIAJE,33720,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101433720.csv
24001IFA10101332640,2025-03-01T00:01:49.577Z,24001IFA,1,0101,3,1,545,JOSE MARIA GONZALEZ TREVILLA 14,4,FIN DE VIAJE,32640,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101332640.csv
24001IFA10101329640,2025-03-01T00:01:49.577Z,24001IFA,1,0101,3,1,338,GLORIETA DE ADARZO,3,INICIO DE VIAJE,29640,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101329640.csv
24001IFA10101229640,2025-03-01T00:01:49.577Z,24001IFA,1,0101,2,1,338,GLORIETA DE ADARZO,4,FIN DE VIAJE,29640,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101229640.csv
24001IFA10101226640,2025-03-01T00:01:49.577Z,24001IFA,1,0101,2,1,545,JOSE MARIA GONZALEZ TREVILLA 14,11,ENTRADA EN LINEA,26640,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa10101226640.csv
24001IFA101011982740,2025-03-01T00:01:49.577Z,24001IFA,1,0101,19,1,545,JOSE MARIA GONZALEZ TREVILLA 14,12,SALIDA DE LINEA,82740,http://datos.santander.es/api/datos/programacionTUS_horariosLineas/24001ifa101011982740.csv
